model     position  target              L16 L20 L24 L26 L29 L31   best
base      dots_mean queried_base         0.27  0.35  0.40  0.38  0.26  0.10   L23 (0.43)
base      dots_mean distractor_literal  -0.13 -0.22 -0.24 -0.30 -0.13 -0.14   L4 (0.02)
base      dots_mean q_constant           0.29 -0.08 -0.14 -0.12 -0.12 -0.20   L5 (0.69)
base      dots_mean def_constant        -0.41  0.07  0.19  0.13  0.25  0.19   L28 (0.28)
base      dots_mean answer               0.23  0.39  0.42  0.42  0.30  0.13   L23 (0.45)
base      cue       queried_base         0.28  0.77  0.74  0.76  0.74  0.75   L20 (0.77)
base      cue       distractor_literal  -0.02  0.13  0.05 -0.08 -0.18 -0.32   L19 (0.22)
base      cue       q_constant           0.23  0.40  0.43  0.42  0.21  0.20   L5 (0.82)
base      cue       def_constant        -0.14  0.63  0.54  0.51  0.32  0.29   L19 (0.63)
base      cue       answer               0.35  0.82  0.77  0.81  0.80  0.79   L20 (0.82)
dotsonly  dots_mean queried_base         0.84  0.97  0.97  0.97  0.95  0.94   L21 (0.98)
dotsonly  dots_mean distractor_literal   0.26 -0.06  0.06 -0.04 -0.10  0.02   L13 (0.44)
dotsonly  dots_mean q_constant           0.95  0.87  0.81  0.79  0.62  0.57   L13 (0.96)
dotsonly  dots_mean def_constant         0.87  0.92  0.87  0.84  0.75  0.71   L20 (0.92)
dotsonly  dots_mean answer               0.88  0.97  0.97  0.97  0.96  0.95   L21 (0.97)
dotsonly  cue       queried_base         0.87  0.99  0.99  0.98  0.97  0.97   L21 (0.99)
dotsonly  cue       distractor_literal   0.09 -0.23 -0.37 -0.59 -1.17 -1.00   L9 (0.33)
dotsonly  cue       q_constant           0.98  0.92  0.86  0.83  0.69  0.64   L8 (0.99)
dotsonly  cue       def_constant         0.90  0.95  0.90  0.86  0.72  0.70   L19 (0.96)
dotsonly  cue       answer               0.90  0.98  0.98  0.99  0.98  0.99   L26 (0.99)
k0only    dots_mean queried_base         0.87  0.95  0.96  0.97  0.94  0.93   L25 (0.97)
k0only    dots_mean distractor_literal   0.08 -0.05 -0.10 -0.33 -0.54 -0.32   L11 (0.35)
k0only    dots_mean q_constant           0.92  0.56  0.30  0.26  0.19  0.17   L13 (0.97)
k0only    dots_mean def_constant         0.94  0.91  0.85  0.81  0.78  0.76   L16 (0.94)
k0only    dots_mean answer               0.89  0.95  0.96  0.97  0.95  0.94   L26 (0.97)
k0only    cue       queried_base         0.83  0.99  0.99  0.99  0.97  0.97   L21 (0.99)
k0only    cue       distractor_literal   0.08 -0.18 -0.37 -0.65 -1.25 -1.03   L8 (0.28)
k0only    cue       q_constant           0.98  0.93  0.85  0.81  0.62  0.55   L9 (0.99)
k0only    cue       def_constant         0.92  0.95  0.91  0.86  0.72  0.71   L19 (0.96)
k0only    cue       answer               0.86  0.99  0.99  0.99  0.99  0.99   L26 (0.99)
n items with a distractor literal: 83
