time_steps,filler_length,n,correct,accuracy
1,0,10,2,0.2
1,1,10,2,0.2
1,3,10,5,0.5
1,5,10,1,0.1
1,10,10,5,0.5
1,25,10,3,0.3
1,50,10,2,0.2
1,100,10,1,0.1
2,0,10,0,0.0
2,1,10,0,0.0
2,3,10,0,0.0
2,5,10,0,0.0
2,10,10,0,0.0
2,25,10,0,0.0
2,50,10,0,0.0
2,100,10,0,0.0
3,0,10,0,0.0
3,1,10,0,0.0
3,3,10,1,0.1
3,5,10,1,0.1
3,10,10,1,0.1
3,25,10,1,0.1
3,50,10,1,0.1
3,100,10,0,0.0
4,0,10,0,0.0
4,1,10,1,0.1
4,3,10,1,0.1
4,5,10,1,0.1
4,10,10,1,0.1
4,25,10,1,0.1
4,50,10,1,0.1
4,100,10,1,0.1
5,0,10,0,0.0
5,1,10,0,0.0
5,3,10,0,0.0
5,5,10,0,0.0
5,10,10,0,0.0
5,25,10,0,0.0
5,50,10,0,0.0
5,100,10,0,0.0
6,0,10,0,0.0
6,1,10,0,0.0
6,3,10,0,0.0
6,5,10,0,0.0
6,10,10,0,0.0
6,25,10,0,0.0
6,50,10,0,0.0
6,100,10,0,0.0
7,0,10,0,0.0
7,1,10,0,0.0
7,3,10,0,0.0
7,5,10,0,0.0
7,10,10,0,0.0
7,25,10,0,0.0
7,50,10,0,0.0
7,100,10,0,0.0
8,0,10,0,0.0
8,1,10,0,0.0
8,3,10,0,0.0
8,5,10,0,0.0
8,10,10,0,0.0
8,25,10,0,0.0
8,50,10,0,0.0
8,100,10,0,0.0
9,0,10,0,0.0
9,1,10,0,0.0
9,3,10,0,0.0
9,5,10,0,0.0
9,10,10,0,0.0
9,25,10,0,0.0
9,50,10,1,0.1
9,100,10,1,0.1
10,0,10,0,0.0
10,1,10,0,0.0
10,3,10,0,0.0
10,5,10,0,0.0
10,10,10,0,0.0
10,25,10,0,0.0
10,50,10,0,0.0
10,100,10,0,0.0
