example_id,time_steps,target,surface,method,best_rank,best_layer,best_filler_position
repeated_squaring_n209_x24_t3,3,x_1,158,j_lens,51,37,3
repeated_squaring_n209_x24_t3,3,x_1,158,logit_lens,61,38,3
repeated_squaring_n209_x24_t3,3,x_2,93,j_lens,28,36,3
repeated_squaring_n209_x24_t3,3,x_2,93,logit_lens,67,37,3
repeated_squaring_n209_x24_t3,3,x_3,80,j_lens,411,35,3
repeated_squaring_n209_x24_t3,3,x_3,80,logit_lens,148,37,3
repeated_squaring_n407_x30_t4,4,x_1,86,j_lens,64,35,6
repeated_squaring_n407_x30_t4,4,x_1,86,logit_lens,65,41,10
repeated_squaring_n407_x30_t4,4,x_2,70,j_lens,337,41,10
repeated_squaring_n407_x30_t4,4,x_2,70,logit_lens,107,5,1
repeated_squaring_n407_x30_t4,4,x_3,16,j_lens,501,41,10
repeated_squaring_n407_x30_t4,4,x_3,16,logit_lens,501,41,10
repeated_squaring_n407_x30_t4,4,x_4,256,j_lens,201,41,10
repeated_squaring_n407_x30_t4,4,x_4,256,logit_lens,175,40,10
repeated_squaring_n667_x41_t10,10,x_1,347,j_lens,915,35,1
repeated_squaring_n667_x41_t10,10,x_1,347,logit_lens,844,35,1
repeated_squaring_n667_x41_t10,10,x_2,349,j_lens,178,37,1
repeated_squaring_n667_x41_t10,10,x_2,349,logit_lens,286,37,1
repeated_squaring_n667_x41_t10,10,x_3,407,j_lens,2769,35,1
repeated_squaring_n667_x41_t10,10,x_3,407,logit_lens,2374,35,1
repeated_squaring_n667_x41_t10,10,x_4,233,j_lens,1290,35,1
repeated_squaring_n667_x41_t10,10,x_4,233,logit_lens,119,4,4
repeated_squaring_n667_x41_t10,10,x_5,262,j_lens,121,36,1
repeated_squaring_n667_x41_t10,10,x_5,262,logit_lens,48,32,1
repeated_squaring_n667_x41_t10,10,x_6,610,j_lens,332,35,1
repeated_squaring_n667_x41_t10,10,x_6,610,logit_lens,174,13,9
repeated_squaring_n667_x41_t10,10,x_7,581,j_lens,167,35,1
repeated_squaring_n667_x41_t10,10,x_7,581,logit_lens,241,35,1
repeated_squaring_n667_x41_t10,10,x_8,59,j_lens,10,35,1
repeated_squaring_n667_x41_t10,10,x_8,59,logit_lens,54,35,1
repeated_squaring_n667_x41_t10,10,x_9,146,j_lens,3864,35,1
repeated_squaring_n667_x41_t10,10,x_9,146,logit_lens,487,4,4
repeated_squaring_n667_x41_t10,10,x_10,639,j_lens,328,35,1
repeated_squaring_n667_x41_t10,10,x_10,639,logit_lens,226,31,1
repeated_squaring_n473_x31_t1,1,x_1,15,j_lens,261,40,3
repeated_squaring_n473_x31_t1,1,x_1,15,logit_lens,158,38,3
repeated_squaring_n473_x31_t8,8,x_1,15,j_lens,2569,20,1
repeated_squaring_n473_x31_t8,8,x_1,15,logit_lens,178,5,1
repeated_squaring_n473_x31_t8,8,x_2,225,j_lens,23,36,4
repeated_squaring_n473_x31_t8,8,x_2,225,logit_lens,3,36,4
repeated_squaring_n473_x31_t8,8,x_3,14,j_lens,2898,21,4
repeated_squaring_n473_x31_t8,8,x_3,14,logit_lens,1036,24,4
repeated_squaring_n473_x31_t8,8,x_4,196,j_lens,366,35,4
repeated_squaring_n473_x31_t8,8,x_4,196,logit_lens,92,31,4
repeated_squaring_n473_x31_t8,8,x_5,103,j_lens,2157,36,4
repeated_squaring_n473_x31_t8,8,x_5,103,logit_lens,233,30,4
repeated_squaring_n473_x31_t8,8,x_6,203,j_lens,187,36,4
repeated_squaring_n473_x31_t8,8,x_6,203,logit_lens,76,36,4
repeated_squaring_n473_x31_t8,8,x_7,58,j_lens,148,35,4
repeated_squaring_n473_x31_t8,8,x_7,58,logit_lens,168,34,4
repeated_squaring_n473_x31_t8,8,x_8,53,j_lens,31,35,4
repeated_squaring_n473_x31_t8,8,x_8,53,logit_lens,58,34,4
