id,fact_phrase_1,fact_value_1,fact_phrase_2,fact_value_2,expected_answer,k0_answer,k0_correct,k0_target_rank,k0_target_log_probability,k1_answer,k1_correct,k1_target_rank,k1_target_log_probability,k5_answer,k5_correct,k5_target_rank,k5_target_log_probability,k10_answer,k10_correct,k10_target_rank,k10_target_log_probability,k25_answer,k25_correct,k25_target_rank,k25_target_log_probability,k50_answer,k50_correct,k50_target_rank,k50_target_log_probability,k100_answer,k100_correct,k100_target_rank,k100_target_log_probability
two_fact_0000,the atomic number of Thorium,90,the atomic number of Tellurium,52,142,142,True,1,-0.1895618438720703,142,True,1,-0.4460334777832031,172,False,2,-1.7232131958007812,164,False,4,-2.348482131958008,162,False,3,-2.0375747680664062,164,False,3,-1.7129230499267578,152,False,2,-1.1816024780273438
two_fact_0001,the atomic number of Neptunium,93,the atomic number of Boron,5,98,102,False,2,-1.2443962097167969,98,True,1,-0.045337677001953125,98,True,1,-0.10755538940429688,98,True,1,-0.2209930419921875,98,True,1,-0.46491241455078125,102,False,2,-2.952922821044922,102,False,2,-1.4664230346679688
two_fact_0002,the atomic number of Gold,79,the atomic number of Hafnium,72,151,151,True,1,-0.2181854248046875,151,True,1,-0.8572731018066406,151,True,1,-0.9369773864746094,151,True,1,-0.3111381530761719,151,True,1,-0.7280693054199219,151,True,1,-0.5190620422363281,152,False,2,-1.5501518249511719
two_fact_0003,the atomic number of Tellurium,52,the atomic number of Zirconium,40,92,102,False,6,-4.354822158813477,112,False,10,-5.4971160888671875,112,False,8,-4.695747375488281,112,False,7,-4.661411285400391,112,False,13,-6.19676399230957,112,False,12,-7.107208251953125,102,False,6,-5.219108581542969
two_fact_0004,the atomic number of Ruthenium,44,the atomic number of Mercury,80,124,134,False,21,-8.589632034301758,144,False,21,-6.446695327758789,154,False,54,-9.703405380249023,144,False,53,-9.779539108276367,144,False,19,-7.131793975830078,144,False,15,-8.212949752807617,144,False,19,-8.121868133544922
two_fact_0005,the atomic number of Berkelium,97,the atomic number of Curium,96,193,197,False,10,-5.086711883544922,247,False,26,-6.3060760498046875,197,False,21,-5.489673614501953,197,False,18,-5.164066314697266,195,False,10,-4.455696105957031,247,False,20,-5.44105339050293,197,False,7,-3.671541213989258
two_fact_0006,the atomic number of Silver,47,the atomic number of Hydrogen,1,48,48,True,1,-0.00311279296875,48,True,1,-0.00276947021484375,48,True,1,-0.003505706787109375,48,True,1,-0.000701904296875,48,True,1,-0.00308990478515625,48,True,1,-0.000652313232421875,48,True,1,-0.002902984619140625
two_fact_0007,the atomic number of Iridium,77,the atomic number of Antimony,51,128,132,False,6,-3.4947261810302734,132,False,3,-2.1326217651367188,132,False,5,-3.179258346557617,132,False,2,-1.4469680786132812,128,True,1,-1.3457012176513672,128,True,1,-0.3230400085449219,128,True,1,-0.11974716186523438
two_fact_0008,the atomic number of Osmium,76,the atomic number of Lutetium,71,147,142,False,12,-4.445932388305664,154,False,9,-3.3362960815429688,176,False,27,-4.388299942016602,152,False,4,-2.946910858154297,139,False,9,-3.611713409423828,139,False,12,-3.714599609375,139,False,5,-2.8580589294433594
two_fact_0009,the atomic number of Rhodium,45,the atomic number of Americium,95,140,145,False,41,-12.396209716796875,145,False,39,-11.693471908569336,145,False,46,-13.203596115112305,145,False,41,-10.923728942871094,145,False,19,-10.628063201904297,145,False,19,-7.467494964599609,145,False,12,-7.361833572387695
two_fact_0010,the atomic number of Germanium,32,the atomic number of Titanium,22,54,54,True,1,-0.4711723327636719,50,False,4,-2.320585250854492,70,False,8,-3.9059619903564453,54,True,1,-0.7971229553222656,76,False,5,-2.9701881408691406,54,True,1,-0.7644233703613281,54,True,1,-0.28746795654296875
two_fact_0011,the atomic number of Caesium,55,the atomic number of Gallium,31,86,82,False,3,-2.72039794921875,88,False,9,-4.873256683349609,88,False,12,-6.155914306640625,112,False,4,-2.817352294921875,124,False,6,-6.3787994384765625,124,False,5,-5.392608642578125,112,False,3,-1.9550704956054688
two_fact_0012,the atomic number of Osmium,76,the atomic number of Silver,47,123,120,False,15,-4.618856430053711,119,False,12,-4.387353897094727,147,False,26,-6.3606719970703125,147,False,19,-5.176250457763672,147,False,13,-4.779333114624023,155,False,15,-4.89362907409668,129,False,7,-4.326007843017578
two_fact_0013,the atomic number of Tellurium,52,the atomic number of Lead,82,134,136,False,2,-2.0794677734375,136,False,10,-4.5987701416015625,174,False,8,-3.0425662994384766,172,False,21,-5.996315002441406,172,False,3,-2.3205032348632812,174,False,3,-2.2168331146240234,172,False,3,-2.151609420776367
two_fact_0014,the atomic number of Californium,98,the atomic number of Neptunium,93,191,193,False,4,-2.2132644653320312,195,False,4,-2.148897171020508,187,False,3,-1.9812641143798828,193,False,4,-2.2509727478027344,187,False,4,-2.0763778686523438,193,False,4,-2.1723861694335938,193,False,5,-3.097625732421875
two_fact_0015,the atomic number of Neodymium,60,the atomic number of Strontium,38,98,98,True,1,-0.0167236328125,98,True,1,-0.033313751220703125,98,True,1,-0.5516624450683594,98,True,1,-0.7328948974609375,118,False,5,-2.6730194091796875,128,False,5,-4.229057312011719,98,True,1,-0.6974258422851562
two_fact_0016,the atomic number of Potassium,19,the atomic number of Dysprosium,66,85,99,False,14,-4.526189804077148,99,False,20,-5.696916580200195,79,False,2,-2.4723739624023438,79,False,2,-2.137714385986328,97,False,10,-3.7310543060302734,79,False,10,-3.8786449432373047,85,True,1,-1.6191635131835938
two_fact_0017,the atomic number of Indium,49,the atomic number of Berkelium,97,146,150,False,5,-5.387470245361328,150,False,6,-5.462762832641602,148,False,5,-3.3015689849853516,148,False,6,-5.7887725830078125,148,False,8,-6.638708114624023,148,False,4,-5.402212142944336,148,False,5,-6.314504623413086
